Date;Group;Series;Value
03/06/2009;Treasury Bills;SE 12M;0.475
04/06/2009;Treasury Bills;SE 12M;0.475
05/06/2009;Treasury Bills;SE 12M;n/a
08/06/2009;Treasury Bills;SE 12M;n/a
09/06/2009;Treasury Bills;SE 12M;n/a
10/06/2009;Treasury Bills;SE 12M;n/a
11/06/2009;Treasury Bills;SE 12M;n/a
12/06/2009;Treasury Bills;SE 12M;n/a
15/06/2009;Treasury Bills;SE 12M;n/a
16/06/2009;Treasury Bills;SE 12M;n/a
17/06/2009;Treasury Bills;SE 12M;n/a
18/06/2009;Treasury Bills;SE 12M;n/a
22/06/2009;Treasury Bills;SE 12M;n/a
23/06/2009;Treasury Bills;SE 12M;n/a
24/06/2009;Treasury Bills;SE 12M;n/a
25/06/2009;Treasury Bills;SE 12M;n/a
26/06/2009;Treasury Bills;SE 12M;n/a
29/06/2009;Treasury Bills;SE 12M;n/a
30/06/2009;Treasury Bills;SE 12M;n/a
01/07/2009;Treasury Bills;SE 12M;n/a
02/07/2009;Treasury Bills;SE 12M;n/a
03/07/2009;Treasury Bills;SE 12M;n/a
06/07/2009;Treasury Bills;SE 12M;n/a
07/07/2009;Treasury Bills;SE 12M;n/a
08/07/2009;Treasury Bills;SE 12M;n/a
09/07/2009;Treasury Bills;SE 12M;n/a
10/07/2009;Treasury Bills;SE 12M;n/a
13/07/2009;Treasury Bills;SE 12M;n/a
14/07/2009;Treasury Bills;SE 12M;n/a
15/07/2009;Treasury Bills;SE 12M;n/a
16/07/2009;Treasury Bills;SE 12M;n/a
17/07/2009;Treasury Bills;SE 12M;n/a
20/07/2009;Treasury Bills;SE 12M;n/a
21/07/2009;Treasury Bills;SE 12M;n/a
22/07/2009;Treasury Bills;SE 12M;n/a
23/07/2009;Treasury Bills;SE 12M;n/a
24/07/2009;Treasury Bills;SE 12M;n/a
27/07/2009;Treasury Bills;SE 12M;n/a
28/07/2009;Treasury Bills;SE 12M;n/a
29/07/2009;Treasury Bills;SE 12M;n/a
30/07/2009;Treasury Bills;SE 12M;n/a
31/07/2009;Treasury Bills;SE 12M;n/a
03/08/2009;Treasury Bills;SE 12M;n/a
04/08/2009;Treasury Bills;SE 12M;n/a
05/08/2009;Treasury Bills;SE 12M;n/a
06/08/2009;Treasury Bills;SE 12M;n/a
07/08/2009;Treasury Bills;SE 12M;n/a
10/08/2009;Treasury Bills;SE 12M;n/a
11/08/2009;Treasury Bills;SE 12M;n/a
12/08/2009;Treasury Bills;SE 12M;n/a
13/08/2009;Treasury Bills;SE 12M;n/a
14/08/2009;Treasury Bills;SE 12M;n/a
17/08/2009;Treasury Bills;SE 12M;n/a
18/08/2009;Treasury Bills;SE 12M;n/a
19/08/2009;Treasury Bills;SE 12M;n/a
20/08/2009;Treasury Bills;SE 12M;n/a
21/08/2009;Treasury Bills;SE 12M;n/a
24/08/2009;Treasury Bills;SE 12M;n/a
25/08/2009;Treasury Bills;SE 12M;n/a
26/08/2009;Treasury Bills;SE 12M;n/a
27/08/2009;Treasury Bills;SE 12M;n/a
28/08/2009;Treasury Bills;SE 12M;n/a
31/08/2009;Treasury Bills;SE 12M;n/a
01/09/2009;Treasury Bills;SE 12M;n/a
02/09/2009;Treasury Bills;SE 12M;n/a
03/09/2009;Treasury Bills;SE 12M;n/a
04/09/2009;Treasury Bills;SE 12M;n/a
07/09/2009;Treasury Bills;SE 12M;n/a
08/09/2009;Treasury Bills;SE 12M;n/a
09/09/2009;Treasury Bills;SE 12M;n/a
10/09/2009;Treasury Bills;SE 12M;n/a
11/09/2009;Treasury Bills;SE 12M;n/a
14/09/2009;Treasury Bills;SE 12M;n/a
15/09/2009;Treasury Bills;SE 12M;n/a
16/09/2009;Treasury Bills;SE 12M;n/a
17/09/2009;Treasury Bills;SE 12M;n/a
18/09/2009;Treasury Bills;SE 12M;n/a
21/09/2009;Treasury Bills;SE 12M;n/a
22/09/2009;Treasury Bills;SE 12M;n/a
23/09/2009;Treasury Bills;SE 12M;n/a
24/09/2009;Treasury Bills;SE 12M;n/a
25/09/2009;Treasury Bills;SE 12M;n/a
28/09/2009;Treasury Bills;SE 12M;n/a
29/09/2009;Treasury Bills;SE 12M;n/a
30/09/2009;Treasury Bills;SE 12M;n/a
01/10/2009;Treasury Bills;SE 12M;n/a
02/10/2009;Treasury Bills;SE 12M;n/a
05/10/2009;Treasury Bills;SE 12M;n/a
06/10/2009;Treasury Bills;SE 12M;n/a
07/10/2009;Treasury Bills;SE 12M;n/a
08/10/2009;Treasury Bills;SE 12M;n/a
09/10/2009;Treasury Bills;SE 12M;n/a
12/10/2009;Treasury Bills;SE 12M;n/a
13/10/2009;Treasury Bills;SE 12M;n/a
14/10/2009;Treasury Bills;SE 12M;n/a
15/10/2009;Treasury Bills;SE 12M;n/a
16/10/2009;Treasury Bills;SE 12M;n/a
19/10/2009;Treasury Bills;SE 12M;n/a
20/10/2009;Treasury Bills;SE 12M;n/a
21/10/2009;Treasury Bills;SE 12M;n/a
22/10/2009;Treasury Bills;SE 12M;n/a
23/10/2009;Treasury Bills;SE 12M;n/a
26/10/2009;Treasury Bills;SE 12M;n/a
27/10/2009;Treasury Bills;SE 12M;n/a
28/10/2009;Treasury Bills;SE 12M;n/a
29/10/2009;Treasury Bills;SE 12M;n/a
30/10/2009;Treasury Bills;SE 12M;n/a
02/11/2009;Treasury Bills;SE 12M;n/a
03/11/2009;Treasury Bills;SE 12M;n/a
04/11/2009;Treasury Bills;SE 12M;n/a
05/11/2009;Treasury Bills;SE 12M;n/a
06/11/2009;Treasury Bills;SE 12M;n/a
09/11/2009;Treasury Bills;SE 12M;n/a
10/11/2009;Treasury Bills;SE 12M;n/a
11/11/2009;Treasury Bills;SE 12M;n/a
12/11/2009;Treasury Bills;SE 12M;n/a
13/11/2009;Treasury Bills;SE 12M;n/a
16/11/2009;Treasury Bills;SE 12M;n/a
17/11/2009;Treasury Bills;SE 12M;n/a
18/11/2009;Treasury Bills;SE 12M;n/a
19/11/2009;Treasury Bills;SE 12M;n/a
20/11/2009;Treasury Bills;SE 12M;n/a
23/11/2009;Treasury Bills;SE 12M;n/a
24/11/2009;Treasury Bills;SE 12M;n/a
25/11/2009;Treasury Bills;SE 12M;n/a
26/11/2009;Treasury Bills;SE 12M;n/a
27/11/2009;Treasury Bills;SE 12M;n/a
30/11/2009;Treasury Bills;SE 12M;n/a
01/12/2009;Treasury Bills;SE 12M;n/a
02/12/2009;Treasury Bills;SE 12M;n/a
03/12/2009;Treasury Bills;SE 12M;n/a
04/12/2009;Treasury Bills;SE 12M;n/a
07/12/2009;Treasury Bills;SE 12M;n/a
08/12/2009;Treasury Bills;SE 12M;n/a
